case_id,status,category,question_type,user_question,expected_behavior,expected_key_points,required_source,source_location,forbidden_claims
KQ-001,confirmed,硬件规格,spec_fact,"E3800 的防病毒吞吐量、物理吞吐量和内存是多少？",answer,"3.5G；15G；64G DDR4","AE 硬件规格","E3800 行","不得混用其他型号"
KQ-002,confirmed,硬件规格,spec_fact,"T80000 的 CPU、内存和磁盘配置是什么？",answer,"2×Intel Xeon Gold 4316；40核80线程；128GB；8TB","AE 硬件规格","T80000 行","不得把单颗CPU核数写成整机核数"
KQ-003,confirmed,硬件规格,spec_fact,"G1280D 是不是国产化型号？主要规格是什么？",answer,"超云国产化；2G/10G；海光C86 3350 8核16线程；32GB；4TB；千兆与万兆Bypass扩展","AE 硬件规格","G1280D 行","不得遗漏国产化属性"
KQ-004,confirmed,硬件规格,comparison,"E380 和 E680 有什么差别？",answer,"E380 300M/3G和16G；E680 800M/4G和32G；共有项按表呈现","AE 硬件规格","E380、E680 行","不得虚构未列差异"
KQ-005,confirmed,硬件规格,comparison,"对比 E3800、T20000、T80000 的吞吐量、CPU、内存和磁盘。",answer,"表格对比；防病毒3.5G/6G/10G；物理15G/20G/30G；对应CPU内存磁盘","AE 硬件规格","对应三行","不得漏掉比较维度"
KQ-006,confirmed,硬件规格,filtered_list,"在当前非 EOS 型号里，哪些设备防病毒吞吐量达到 10G 或以上？",answer,"T80000 10G；T90000 20G","AE 硬件规格","非EOS区域","不得混入EOS型号"
KQ-007,confirmed,硬件规格,filtered_list,"当前规格表里有哪些国产化型号？",answer,"G680、G1280D、G6800、G40000；G680需联系PMM临时上架","AE 硬件规格","产品类型与备注列","不得忽略G680备注"
KQ-008,confirmed,硬件规格,spec_fact,"G40000 的 CPU、内存、磁盘和新建连接性能是多少？",answer,"2×海光C86 7375；64核128线程；128GB；8TB；新建连接6.5，单位随表头","AE 硬件规格","G40000 行","不得臆造单位"
KQ-009,confirmed,硬件规格,spec_fact,"T90000 的 CPU、内存、磁盘和接口特点是什么？",answer,"AMD EPYC 7H12 64核128线程；256GB；16TB；半高非Bypass双口万兆和双口40G","AE 硬件规格","T90000 行","不得写成双CPU"
KQ-010,confirmed,硬件规格,spec_fact,"E1280 有几个业务网口，吞吐和硬件配置如何？",answer,"2管理千兆电口+6千兆Bypass业务口；2G/8G；i7-8700 6核12线程；32G；1TB","AE 硬件规格","E1280 行","不得把管理口算作业务口"
KQ-011,confirmed,白皮书,product_overview,"信舷防毒墙 V7.0 是什么产品？",answer,"企业网络边界下一代内容安全网关；自研引擎、威胁情报、高性能流扫描；覆盖多类风险","V7.0 产品白皮书","3.1，PDF第6页","不得扩展到白皮书未提及产品"
KQ-012,confirmed,白皮书,summary,"产品的设计理念有哪些？",answer,"深度防御、性能稳定、灵活部署、生态联动及含义","V7.0 产品白皮书","3.2，PDF第6页","不得漏项"
KQ-013,confirmed,白皮书,list,"信舷防毒墙支持哪些部署模式？",answer,"网桥、路由、反向代理","V7.0 产品白皮书","第6章，PDF第15-16页","不得增加未列部署模式"
KQ-014,confirmed,白皮书,comparison,"网桥模式和路由模式有什么区别？",answer,"网络可见性、接口子网和IP配置差异","V7.0 产品白皮书","6.1-6.2，PDF第15页","不得混淆两种模式"
KQ-015,confirmed,白皮书,scenario,"反向代理模式适合什么场景？",answer,"保护内部服务器；检测HTTP/HTTPS；支持阻断或监控","V7.0 产品白皮书","6.3，PDF第16页","不得声称支持所有协议"
KQ-016,confirmed,白皮书,capability,"产品如何阻断恶意 DNS 请求？",answer,"威胁情报+DNS深度解析；恶意域名/IP；黑白名单与第三方情报；事件记录和失陷主机报告","V7.0 产品白皮书","4.2.2，PDF第12页","不得承诺100%阻断"
KQ-017,confirmed,白皮书,capability,"虚拟补丁解决什么问题？",answer,"补丁安装前屏蔽漏洞和阻止利用；降低延迟风险；保障连续性","V7.0 产品白皮书","4.2.1，PDF第12页","不得说等同于真正安装补丁"
KQ-018,confirmed,白皮书,quantitative,"多引擎协同检测有哪些量化能力？",answer,"98%；20+脱壳；30+解压；300+文件类型；10万+规则","V7.0 产品白皮书","4.1.1，PDF第11页","不得改写量化口径"
KQ-019,confirmed,白皮书,capability,"软硬 BYPASS 双重保障是怎么工作的？",answer,"硬件在关机断电时直通；软件在资源异常或特定流量时UI触发","V7.0 产品白皮书","4.4.1，PDF第13页","不得声称所有故障均自动切换"
KQ-020,confirmed,白皮书,integration,"产品可以和哪些安全能力联动？",answer,"XDR、沙箱、终端安全、第三方威胁情报；域名URL拦截和一键封禁","V7.0 产品白皮书","4.1.3，PDF第12页","不得新增未列平台"
KQ-021,confirmed,白皮书,industry_value,"对金融行业客户，产品能提供什么价值？",answer,"勒索治理、7层控制、虚拟补丁；业务连续性、带宽优先与合规价值","V7.0 产品白皮书","5.1，PDF第14页","不得承诺绝对安全"
KQ-022,confirmed,白皮书,industry_value,"制造业场景主要解决哪些问题？",answer,"挖矿治理、失陷主机、防横移；SMB V3传播检测阻断","V7.0 产品白皮书","5.3，PDF第14页","不得扩展到未列协议"
KQ-023,confirmed,白皮书,case_fact,"金融行业勒索治理案例用了哪些型号和数量？",answer,"7台AE1280；10台AE3800","V7.0 产品白皮书","7.1，PDF第17页","不得把方案指标写成设备规格"
KQ-024,confirmed,白皮书,case_fact,"制造业高级威胁治理案例的方案配置和效果是什么？",answer,"50+台AE980；5分钟内发现；50+设备统一管控；40秒内一键封禁","V7.0 产品白皮书","7.2，PDF第17页","不得省略案例语境"
KQ-025,confirmed,白皮书,case_fact,"国央企高危漏洞收敛案例用了什么设备，效果如何？",answer,"4台AE G6800；高危202到86降57%；中危593到230降61%","V7.0 产品白皮书","7.3，PDF第17-18页","不得把案例结果泛化为通用承诺"
KQ-026,confirmed,系统行为,multi_turn,"上一轮问T90000的CPU和存储，下一轮问：内存呢？",answer,"继承T90000上下文；256GB；引用同一规格行","AE 硬件规格","T90000 行","不得切换型号或重复询问型号"
KQ-027,confirmed,系统行为,clarification,"哪款设备最适合客户？",clarify,"询问吞吐、接口、国产化、部署方式等约束；可说明选择维度","业务规则","澄清规则","不得直接推荐唯一型号"
KQ-028,confirmed,系统行为,insufficient_evidence,"V7.0.3 是否支持某个未在当前资料中出现的操作系统？",insufficient,"明确证据不足；可展示相近资料；建议查询正式兼容性清单","业务规则","无充分来源","不得按常识推断支持"
KQ-029,confirmed,系统行为,conflict,"两份同优先级文档对同一参数给出不同值。",conflict_warning,"采用更新时间较新来源；展示两值、来源、更新时间；提示冲突并请确认","业务规则","来源冲突规则","不得静默选值或合并数值"
KQ-030,needs_business_review,SEG案件,case_retrieval,"有没有白云机场“大量通报”的类似案件？",answer,"反馈日期2026-08-12；问题处理；P1；进行中；薛海峰","白云机场SEG案件原始记录","待入库","截图不能替代正式来源"
KQ-031,needs_business_review,SEG案件,case_fact,"白云机场这个案件对应什么软件版本和产品形态？",answer,"7.0.3.3.3490；国产化","白云机场SEG案件原始记录","待入库","不得改写版本号"
KQ-032,needs_business_review,SEG案件,insufficient_evidence,"白云机场大量通报问题最终解决了吗，根因是什么？",insufficient,"案件进行中；解决办法、问题分类、关闭日期为空；调查记录不等于确认根因","白云机场SEG案件原始记录","待入库","不得宣称已解决或给出确定根因"
